Date,Product ID,Store ID,Actual_Demand,Baseline_Forecast,ML_Forecast,Final_Forecast,Forecast_Error
2023-09-18,P0020,S003,21,169.0,20.37933731453164,20.37933731453164,0.6206626854683606
2023-09-18,P0016,S002,8,193.0,8.068675542040989,8.068675542040989,-0.0686755420409888
2023-09-18,P0002,S002,8,86.0,8.816397210572687,8.816397210572687,-0.8163972105726867
2023-09-18,P0003,S002,286,133.0,286.4934820381392,286.4934820381392,-0.49348203813917735
2023-09-18,P0008,S003,192,134.0,192.4181358885316,192.4181358885316,-0.41813588853159445
2023-09-18,P0010,S001,15,197.0,15.21377957443457,15.21377957443457,-0.21377957443456985
2023-09-18,P0020,S002,1,119.0,0.9296733447883607,0.9296733447883607,0.07032665521163928
2023-09-18,P0002,S005,97,7.0,97.22087200210224,97.22087200210224,-0.22087200210224012
2023-09-18,P0008,S005,59,117.0,59.204169784365014,59.204169784365014,-0.2041697843650141
2023-09-18,P0012,S005,99,29.0,99.44133074781948,99.44133074781948,-0.4413307478194781
2023-09-18,P0011,S002,27,131.0,26.045195805384857,26.045195805384857,0.9548041946151429
2023-09-18,P0008,S004,98,133.0,98.54744085225738,98.54744085225738,-0.547440852257381
2023-09-18,P0009,S005,234,216.0,233.76101325893308,233.76101325893308,0.23898674106692397
2023-09-18,P0017,S005,93,12.0,92.82443495083493,92.82443495083493,0.17556504916507265
2023-09-18,P0004,S004,25,64.0,25.62368960804511,25.62368960804511,-0.6236896080451118
2023-09-18,P0013,S002,354,52.0,354.4435945607858,354.4435945607858,-0.4435945607858116
2023-09-18,P0018,S003,35,221.0,34.36357939714101,34.36357939714101,0.6364206028589905
2023-09-18,P0013,S001,30,29.0,29.889851210607336,29.889851210607336,0.11014878939266382
2023-09-18,P0009,S002,101,66.0,101.36541035085763,101.36541035085763,-0.36541035085762985
2023-09-18,P0010,S002,69,0.0,69.25315412720583,69.25315412720583,-0.25315412720583197
2023-09-18,P0007,S003,128,159.0,127.36051734776568,127.36051734776568,0.6394826522343209
2023-09-18,P0011,S001,336,191.0,337.0478591956674,337.0478591956674,-1.0478591956673995
2023-09-18,P0019,S003,134,129.0,134.55345260472825,134.55345260472825,-0.5534526047282498
2023-09-18,P0020,S004,81,12.0,80.40628398899052,80.40628398899052,0.5937160110094766
2023-09-18,P0017,S001,331,141.0,330.7310743346509,330.7310743346509,0.26892566534911566
2023-09-18,P0011,S004,124,269.0,124.27718466236504,124.27718466236504,-0.2771846623650447
2023-09-18,P0017,S003,86,240.0,85.98958408272287,85.98958408272287,0.010415917277128983
2023-09-18,P0015,S004,10,85.0,10.394373228935423,10.394373228935423,-0.39437322893542337
2023-09-18,P0017,S004,93,56.0,94.03163383287992,94.03163383287992,-1.031633832879919
2023-09-18,P0007,S002,48,165.0,48.6729016636609,48.6729016636609,-0.6729016636609018
2023-09-18,P0010,S005,0,292.0,0.35070097774991027,0.35070097774991027,-0.35070097774991027
2023-09-18,P0015,S005,446,156.0,445.1735887369251,445.1735887369251,0.8264112630748741
2023-09-18,P0012,S002,93,142.0,93.04139544582092,93.04139544582092,-0.04139544582092469
2023-09-18,P0016,S003,54,190.0,54.41684908647916,54.41684908647916,-0.41684908647916075
2023-09-18,P0009,S004,87,234.0,86.81311861552055,86.81311861552055,0.1868813844794488
2023-09-18,P0015,S001,247,98.0,246.1490906519988,246.1490906519988,0.8509093480012098
2023-09-18,P0006,S001,335,39.0,336.1290322308134,336.1290322308134,-1.1290322308133796
2023-09-18,P0017,S002,66,2.0,65.51234757372656,65.51234757372656,0.4876524262734421
2023-09-18,P0009,S001,223,140.0,224.11851923739894,224.11851923739894,-1.1185192373989423
2023-09-18,P0012,S004,139,142.0,139.1590149106901,139.1590149106901,-0.15901491069010376
2023-09-18,P0013,S003,169,26.0,168.8438175435071,168.8438175435071,0.15618245649289975
2023-09-18,P0002,S003,194,12.0,193.84085384285294,193.84085384285294,0.15914615714706315
2023-09-18,P0018,S005,356,21.0,354.8773287729676,354.8773287729676,1.1226712270324128
2023-09-18,P0011,S003,63,20.0,62.90768777353805,62.90768777353805,0.09231222646194936
2023-09-18,P0014,S005,295,160.0,297.00027851447214,297.00027851447214,-2.000278514472143
2023-09-19,P0008,S003,183,192.0,182.60821517501253,182.60821517501253,0.39178482498746803
2023-09-19,P0009,S003,196,382.0,194.54918455869378,194.54918455869378,1.4508154413062186
2023-09-19,P0001,S004,316,218.0,318.01163848776514,318.01163848776514,-2.01163848776514
2023-09-19,P0020,S002,79,1.0,79.64270073102729,79.64270073102729,-0.6427007310272899
2023-09-19,P0005,S002,81,43.0,81.8465766680923,81.8465766680923,-0.8465766680922968
2023-09-19,P0013,S005,223,99.0,223.09825870090407,223.09825870090407,-0.09825870090406852
2023-09-19,P0009,S001,17,223.0,16.89413759711018,16.89413759711018,0.1058624028898194
2023-09-19,P0004,S001,332,31.0,333.2998880980619,333.2998880980619,-1.2998880980618992
2023-09-19,P0013,S001,62,30.0,62.31096480802028,62.31096480802028,-0.31096480802028026
2023-09-19,P0012,S004,67,139.0,66.6379962828355,66.6379962828355,0.3620037171644981
2023-09-19,P0019,S004,410,206.0,411.2943802752422,411.2943802752422,-1.2943802752421902
2023-09-19,P0014,S002,261,49.0,259.6139295240683,259.6139295240683,1.3860704759317173
2023-09-19,P0004,S002,153,90.0,153.48942939599814,153.48942939599814,-0.48942939599814395
2023-09-19,P0004,S005,111,9.0,111.69001381095441,111.69001381095441,-0.6900138109544116
2023-09-19,P0012,S002,98,93.0,97.02552625740455,97.02552625740455,0.9744737425954497
2023-09-19,P0008,S005,122,59.0,121.99172768808873,121.99172768808873,0.00827231191126998
2023-09-19,P0017,S001,130,331.0,129.490286188601,129.490286188601,0.5097138113989956
2023-09-19,P0005,S001,40,62.0,39.82826858126849,39.82826858126849,0.1717314187315111
2023-09-19,P0017,S003,134,86.0,134.735489635987,134.735489635987,-0.735489635986994
2023-09-19,P0002,S003,43,194.0,42.913992987046,42.913992987046,0.08600701295399915
2023-09-19,P0003,S005,257,50.0,257.2631012006901,257.2631012006901,-0.26310120069007326
2023-09-19,P0018,S005,70,356.0,69.72199569486503,69.72199569486503,0.27800430513497076
2023-09-19,P0004,S003,66,6.0,65.84177377385853,65.84177377385853,0.15822622614146553
2023-09-19,P0019,S003,4,134.0,4.183546338064085,4.183546338064085,-0.18354633806408494
2023-09-19,P0004,S004,29,25.0,28.485343777902614,28.485343777902614,0.5146562220973863
2023-09-19,P0008,S004,201,98.0,200.35909824933614,200.35909824933614,0.6409017506638577
2023-09-19,P0012,S005,311,99.0,308.9341872909081,308.9341872909081,2.065812709091915
2023-09-19,P0015,S003,268,69.0,268.18230780749684,268.18230780749684,-0.18230780749684072
2023-09-19,P0002,S005,196,97.0,194.48582026038426,194.48582026038426,1.5141797396157415
2023-09-19,P0014,S003,195,63.0,195.07680635277435,195.07680635277435,-0.07680635277435499
2023-09-19,P0015,S004,299,10.0,297.348525393813,297.348525393813,1.65147460618698
2023-09-19,P0013,S004,48,225.0,48.39578238016644,48.39578238016644,-0.3957823801664375
2023-09-19,P0012,S003,30,72.0,29.50967540904707,29.50967540904707,0.49032459095293035
2023-09-19,P0016,S004,386,1.0,386.75902309128156,386.75902309128156,-0.7590230912815628
2023-09-19,P0009,S002,231,101.0,230.6459364103903,230.6459364103903,0.3540635896096944
2023-09-19,P0012,S001,63,347.0,63.517477428603385,63.517477428603385,-0.5174774286033852
2023-09-19,P0016,S005,148,15.0,149.12212248381613,149.12212248381613,-1.1221224838161277
2023-09-19,P0001,S005,142,264.0,141.818430494387,141.818430494387,0.18156950561299823
2023-09-19,P0008,S002,172,145.0,172.20526432532208,172.20526432532208,-0.2052643253220765
2023-09-19,P0019,S002,99,103.0,99.46587190611389,99.46587190611389,-0.4658719061138896
2023-09-19,P0006,S002,283,77.0,282.56605632316666,282.56605632316666,0.4339436768333371
2023-09-19,P0007,S005,150,111.0,150.14365720327936,150.14365720327936,-0.1436572032793606
2023-09-19,P0010,S004,8,89.0,8.017858350634548,8.017858350634548,-0.01785835063454755
2023-09-19,P0009,S005,207,234.0,207.1025910415692,207.1025910415692,-0.1025910415692124
2023-09-19,P0018,S001,90,219.0,90.40230458284083,90.40230458284083,-0.40230458284082715
2023-09-19,P0014,S004,19,124.0,18.867603235873165,18.867603235873165,0.13239676412683465
2023-09-19,P0011,S002,382,27.0,381.0710333951927,381.0710333951927,0.9289666048072718
2023-09-19,P0016,S002,20,8.0,19.713839381692523,19.713839381692523,0.28616061830747697
2023-09-19,P0016,S001,151,138.0,151.7272918206184,151.7272918206184,-0.7272918206184045
2023-09-19,P0019,S001,60,60.0,60.18427396964234,60.18427396964234,-0.18427396964234077
2023-09-19,P0002,S001,170,63.0,170.5416095827459,170.5416095827459,-0.541609582745906
2023-09-19,P0003,S002,60,286.0,59.16752569907484,59.16752569907484,0.8324743009251634
2023-09-19,P0010,S005,212,0.0,212.2426983232632,212.2426983232632,-0.2426983232631983
2023-09-19,P0003,S004,47,121.0,46.8431420256184,46.8431420256184,0.15685797438160165
2023-09-19,P0010,S001,212,15.0,212.06224516097535,212.06224516097535,-0.062245160975351155
2023-09-19,P0015,S005,200,446.0,200.57860313501996,200.57860313501996,-0.5786031350199607
2023-09-19,P0014,S005,194,295.0,193.40728715449532,193.40728715449532,0.5927128455046784
2023-09-19,P0002,S002,196,8.0,195.7643552761546,195.7643552761546,0.2356447238454109
2023-09-19,P0017,S005,80,93.0,79.31614311063908,79.31614311063908,0.6838568893609249
2023-09-19,P0020,S003,85,21.0,85.02762621602264,85.02762621602264,-0.027626216022639483
2023-09-19,P0011,S004,245,124.0,245.81233588765414,245.81233588765414,-0.8123358876541431
2023-09-19,P0013,S003,1,169.0,1.3842763587668723,1.3842763587668723,-0.3842763587668723
2023-09-19,P0005,S005,8,40.0,7.915823597477078,7.915823597477078,0.08417640252292191
2023-09-19,P0007,S004,86,173.0,86.30220145779332,86.30220145779332,-0.3022014577933163
2023-09-19,P0016,S003,141,54.0,140.58629455528876,140.58629455528876,0.4137054447112405
2023-09-19,P0007,S002,303,48.0,304.60063431821226,304.60063431821226,-1.6006343182122578
2023-09-19,P0003,S001,37,328.0,37.29962819274122,37.29962819274122,-0.299628192741217
2023-09-19,P0009,S004,18,87.0,17.375035384714614,17.375035384714614,0.6249646152853856
2023-09-19,P0020,S004,303,81.0,303.0669340572394,303.0669340572394,-0.0669340572393935
2023-09-19,P0010,S002,45,69.0,45.17685826847527,45.17685826847527,-0.17685826847527153
2023-09-19,P0011,S003,60,63.0,60.18427396964234,60.18427396964234,-0.18427396964234077
2023-09-19,P0015,S001,131,247.0,130.89507238632405,130.89507238632405,0.10492761367595449
2023-09-19,P0018,S002,6,12.0,5.961577776211147,5.961577776211147,0.03842222378885296
2023-09-19,P0006,S003,70,80.0,70.40948272116849,70.40948272116849,-0.4094827211684873
2023-09-19,P0015,S002,92,57.0,92.62316323060325,92.62316323060325,-0.6231632306032537
2023-09-19,P0019,S005,381,121.0,383.69410478649945,383.69410478649945,-2.6941047864994516
2023-09-19,P0005,S003,42,4.0,42.05624305911376,42.05624305911376,-0.05624305911376126
2023-09-19,P0011,S005,184,77.0,184.75125508644408,184.75125508644408,-0.7512550864440755
2023-09-19,P0014,S001,31,47.0,30.941508853470438,30.941508853470438,0.05849114652956189
2023-09-19,P0010,S003,10,127.0,10.276763869155184,10.276763869155184,-0.27676386915518414
2023-09-19,P0006,S001,419,335.0,424.49444153565787,424.49444153565787,-5.49444153565787
2023-09-19,P0001,S003,71,43.0,71.1669122643422,71.1669122643422,-0.1669122643422014
2023-09-19,P0006,S005,47,110.0,47.06403894178,47.06403894178,-0.06403894177999803
2023-09-19,P0011,S001,198,336.0,198.14028424978812,198.14028424978812,-0.14028424978812382
2023-09-19,P0002,S004,72,20.0,71.04620232900483,71.04620232900483,0.9537976709951721
2023-09-19,P0005,S004,174,263.0,174.1079650214405,174.1079650214405,-0.10796502144049214
2023-09-19,P0020,S005,69,71.0,68.77393257362067,68.77393257362067,0.22606742637933053
2023-09-19,P0001,S002,92,312.0,91.63554812341071,91.63554812341071,0.36445187658928546
2023-09-19,P0013,S002,134,354.0,133.20408601845722,133.20408601845722,0.7959139815427818
2023-09-19,P0018,S004,134,4.0,134.5502895186117,134.5502895186117,-0.5502895186116916
2023-09-19,P0001,S001,72,262.0,71.49874818160944,71.49874818160944,0.501251818390557
2023-09-19,P0017,S002,106,66.0,106.43062330897395,106.43062330897395,-0.4306233089739493
2023-09-19,P0017,S004,333,93.0,332.6778509413283,332.6778509413283,0.3221490586716982
2023-09-19,P0006,S004,73,1.0,72.5501081853966,72.5501081853966,0.4498918146034043
2023-09-19,P0020,S001,19,386.0,17.76527203050174,17.76527203050174,1.234727969498259
2023-09-19,P0007,S001,28,206.0,28.35599199814185,28.35599199814185,-0.35599199814184956
2023-09-19,P0018,S003,80,35.0,79.59222595807465,79.59222595807465,0.40777404192535016
2023-09-19,P0008,S001,21,91.0,20.717859010644222,20.717859010644222,0.2821409893557778
2023-09-19,P0003,S003,90,0.0,90.4808208928347,90.4808208928347,-0.4808208928347
2023-09-19,P0007,S003,327,128.0,328.73149278269915,328.73149278269915,-1.7314927826991493
2023-09-20,P0007,S002,63,303.0,63.16924086368704,63.16924086368704,-0.16924086368703684
2023-09-20,P0009,S001,108,17.0,107.8663505904454,107.8663505904454,0.13364940955459303
2023-09-20,P0006,S002,36,283.0,36.82306262685486,36.82306262685486,-0.8230626268548633
2023-09-20,P0020,S002,26,79.0,26.07103192127188,26.07103192127188,-0.07103192127188152
2023-09-20,P0013,S002,115,134.0,115.22524162125248,115.22524162125248,-0.22524162125247926
2023-09-20,P0012,S004,269,67.0,269.47814261158555,269.47814261158555,-0.4781426115855538
2023-09-20,P0017,S005,99,80.0,99.93878740201932,99.93878740201932,-0.9387874020193152
2023-09-20,P0003,S002,28,60.0,26.676668395331365,26.676668395331365,1.3233316046686348
2023-09-20,P0013,S001,401,62.0,406.2138516732735,406.2138516732735,-5.213851673273496
2023-09-20,P0017,S004,175,333.0,174.95799318382825,174.95799318382825,0.042006816171749506
2023-09-20,P0008,S003,107,183.0,108.06329109336417,108.06329109336417,-1.063291093364171
2023-09-20,P0016,S002,8,20.0,8.63498533173605,8.63498533173605,-0.6349853317360505
2023-09-20,P0005,S002,91,81.0,90.78535033394628,90.78535033394628,0.21464966605371671
2023-09-20,P0020,S004,150,303.0,149.97641288189575,149.97641288189575,0.02358711810424552
2023-09-20,P0010,S003,26,10.0,25.37060329157792,25.37060329157792,0.6293967084220817
2023-09-20,P0004,S001,354,332.0,353.6426582666136,353.6426582666136,0.35734173338641995
2023-09-20,P0013,S005,152,223.0,152.36070483570455,152.36070483570455,-0.3607048357045528
2023-09-20,P0019,S005,71,381.0,70.92226393379046,70.92226393379046,0.07773606620953899
2023-09-20,P0001,S004,206,316.0,205.6629382091751,205.6629382091751,0.3370617908248903
2023-09-20,P0014,S001,114,31.0,114.24080243268538,114.24080243268538,-0.24080243268538482
2023-09-20,P0006,S005,151,47.0,150.6279473432697,150.6279473432697,0.37205265673028975
2023-09-20,P0004,S002,7,153.0,7.7068493515507965,7.7068493515507965,-0.7068493515507965
2023-09-20,P0018,S004,59,134.0,58.47727658840189,58.47727658840189,0.5227234115981076
2023-09-20,P0006,S004,108,73.0,108.16810607166467,108.16810607166467,-0.16810607166466696
2023-09-20,P0015,S003,66,268.0,66.3368298328576,66.3368298328576,-0.33682983285760315
2023-09-20,P0007,S001,64,28.0,64.25910763280467,64.25910763280467,-0.2591076328046711
2023-09-20,P0017,S002,56,106.0,55.325011109072115,55.325011109072115,0.6749888909278852
2023-09-20,P0004,S003,432,66.0,436.9751905087748,436.9751905087748,-4.975190508774801
2023-09-20,P0017,S003,151,134.0,151.03407459529717,151.03407459529717,-0.03407459529717016
2023-09-20,P0010,S004,308,8.0,306.51356625146786,306.51356625146786,1.4864337485321357
2023-09-20,P0008,S005,47,122.0,46.90462473775869,46.90462473775869,0.09537526224131199
2023-09-20,P0016,S001,76,151.0,75.92455116996454,75.92455116996454,0.07544883003545522
2023-09-20,P0014,S002,175,261.0,174.1295702216721,174.1295702216721,0.8704297783278889
2023-09-20,P0002,S001,151,170.0,151.2133419286891,151.2133419286891,-0.21334192868908985
2023-09-20,P0010,S005,134,212.0,133.67318558097537,133.67318558097537,0.32681441902462893
2023-09-20,P0018,S005,389,70.0,391.69156651868894,391.69156651868894,-2.691566518688944
2023-09-20,P0015,S001,34,131.0,34.480586181082,34.480586181082,-0.48058618108200335
2023-09-20,P0020,S003,44,85.0,43.32652610733839,43.32652610733839,0.6734738926616117
2023-09-20,P0008,S004,218,201.0,217.14190347979005,217.14190347979005,0.8580965202099549
2023-09-20,P0012,S005,16,311.0,16.464353058000775,16.464353058000775,-0.46435305800077487
2023-09-20,P0010,S002,27,45.0,26.55436432357814,26.55436432357814,0.4456356764218583
2023-09-20,P0006,S003,18,70.0,17.46984628290044,17.46984628290044,0.5301537170995587
2023-09-20,P0014,S005,94,194.0,94.91688146736273,94.91688146736273,-0.9168814673627281
2023-09-20,P0003,S001,63,37.0,63.513491473622814,63.513491473622814,-0.513491473622814
2023-09-20,P0011,S001,17,198.0,17.920446627632373,17.920446627632373,-0.9204466276323728
2023-09-20,P0011,S004,8,245.0,7.959204956814998,7.959204956814998,0.04079504318500238
2023-09-20,P0018,S001,264,90.0,264.4883172719375,264.4883172719375,-0.48831727193748975
2023-09-20,P0010,S001,122,212.0,121.319861530891,121.319861530891,0.6801384691089964
2023-09-20,P0019,S001,246,60.0,245.79223971936293,245.79223971936293,0.20776028063707486
2023-09-20,P0003,S004,71,47.0,71.15916317899438,71.15916317899438,-0.15916317899437615
2023-09-20,P0014,S004,253,19.0,252.73631124880052,252.73631124880052,0.26368875119948143
2023-09-20,P0005,S001,394,40.0,395.54968863148355,395.54968863148355,-1.5496886314835479
2023-09-20,P0003,S005,74,257.0,74.09402759865358,74.09402759865358,-0.09402759865358234
2023-09-20,P0007,S005,39,150.0,39.04054003121288,39.04054003121288,-0.040540031212877636
2023-09-20,P0018,S002,190,6.0,190.28167038679396,190.28167038679396,-0.2816703867939623
2023-09-20,P0019,S002,49,99.0,48.4929904100852,48.4929904100852,0.5070095899148015
2023-09-20,P0008,S001,46,21.0,46.660718448843845,46.660718448843845,-0.6607184488438449
2023-09-20,P0014,S003,0,195.0,0.3341550222191172,0.3341550222191172,-0.3341550222191172
2023-09-20,P0008,S002,11,172.0,11.43827193511625,11.43827193511625,-0.4382719351162496
2023-09-20,P0001,S005,204,142.0,204.60567037229526,204.60567037229526,-0.6056703722952648
2023-09-20,P0016,S004,125,386.0,125.60204942059612,125.60204942059612,-0.6020494205961171
2023-09-20,P0001,S001,104,72.0,103.17845660278876,103.17845660278876,0.8215433972112436
2023-09-20,P0005,S004,149,174.0,148.94202691600486,148.94202691600486,0.057973083995136676
2023-09-20,P0012,S001,55,63.0,55.092939602409835,55.092939602409835,-0.09293960240983523
2023-09-20,P0015,S002,246,92.0,246.16768737354397,246.16768737354397,-0.1676873735439699
2023-09-20,P0009,S003,24,196.0,23.936596720283916,23.936596720283916,0.06340327971608417
2023-09-20,P0002,S004,63,72.0,63.02013486379596,63.02013486379596,-0.020134863795959745
2023-09-20,P0011,S005,95,184.0,95.63957794135452,95.63957794135452,-0.6395779413545171
2023-09-20,P0020,S005,19,69.0,18.398603836024737,18.398603836024737,0.601396163975263
2023-09-20,P0005,S003,215,42.0,215.95962991534412,215.95962991534412,-0.9596299153441237
2023-09-20,P0001,S002,183,92.0,182.84028941553757,182.84028941553757,0.15971058446243092
2023-09-20,P0019,S004,5,410.0,4.272786367691913,4.272786367691913,0.7272136323080867
2023-09-20,P0018,S003,96,80.0,95.97107548984619,95.97107548984619,0.028924510153814253
2023-09-20,P0020,S001,202,19.0,203.02551778004272,203.02551778004272,-1.025517780042719
2023-09-20,P0013,S004,34,48.0,34.24853160132398,34.24853160132398,-0.24853160132398244
2023-09-20,P0004,S005,191,111.0,190.82693122838305,190.82693122838305,0.1730687716169541
2023-09-20,P0015,S004,83,299.0,83.5771899494089,83.5771899494089,-0.5771899494089041
2023-09-20,P0006,S001,295,419.0,296.54988522537343,296.54988522537343,-1.5498852253734299
2023-09-20,P0004,S004,104,29.0,103.26877353089401,103.26877353089401,0.7312264691059909
2023-09-20,P0007,S003,89,327.0,89.63746652271531,89.63746652271531,-0.6374665227153145
2023-09-20,P0016,S005,125,148.0,125.03024317369305,125.03024317369305,-0.030243173693051517
2023-09-20,P0009,S005,97,207.0,97.64539108226178,97.64539108226178,-0.6453910822617814
2023-09-20,P0009,S002,75,231.0,74.79356667927468,74.79356667927468,0.20643332072532417
2023-09-20,P0012,S003,174,30.0,173.132446767652,173.132446767652,0.8675532323480013
2023-09-20,P0011,S002,86,382.0,86.12898377557964,86.12898377557964,-0.12898377557964125
2023-09-20,P0003,S003,91,90.0,90.9694756768597,90.9694756768597,0.030524323140298293
2023-09-20,P0019,S003,209,4.0,208.93209414147873,208.93209414147873,0.06790585852127151
2023-09-20,P0002,S002,256,196.0,257.1955615008883,257.1955615008883,-1.1955615008882887
2023-09-20,P0007,S004,167,86.0,167.77989784897113,167.77989784897113,-0.7798978489711317
2023-09-20,P0002,S003,168,43.0,168.7623121784465,168.7623121784465,-0.762312178446507
2023-09-20,P0002,S005,359,196.0,360.85899722615244,360.85899722615244,-1.8589972261524395
2023-09-20,P0011,S003,148,60.0,148.42596089459084,148.42596089459084,-0.42596089459084396
2023-09-20,P0013,S003,122,1.0,122.52168971401585,122.52168971401585,-0.5216897140158494
2023-09-20,P0005,S005,249,8.0,248.59697043148307,248.59697043148307,0.40302956851692784
2023-09-20,P0016,S003,60,141.0,59.84041585640178,59.84041585640178,0.1595841435982166
2023-09-20,P0015,S005,47,200.0,47.194121840781534,47.194121840781534,-0.19412184078153416
2023-09-20,P0012,S002,46,98.0,45.81482757772564,45.81482757772564,0.1851724222743627
2023-09-20,P0017,S001,75,130.0,74.91643176561958,74.91643176561958,0.08356823438042227
2023-09-20,P0001,S003,69,71.0,69.23129515303602,69.23129515303602,-0.23129515303601522
2023-09-20,P0009,S004,92,18.0,91.56983370569137,91.56983370569137,0.4301662943086342
2023-09-21,P0013,S004,115,34.0,114.92289144423904,114.92289144423904,0.0771085557609581
2023-09-21,P0017,S002,18,56.0,17.633399473782408,17.633399473782408,0.3666005262175922
2023-09-21,P0002,S004,61,63.0,60.7094336383172,60.7094336383172,0.29056636168279937
2023-09-21,P0013,S002,47,115.0,46.718084749601964,46.718084749601964,0.2819152503980362
2023-09-21,P0013,S001,124,401.0,123.90021358730372,123.90021358730372,0.0997864126962753
